Fight,Name,Job,DPS,Rank,patch_number
Brute Bomber,Maxwell Trevelyan,paladin,36023.8,80,7.1
Honey B. Lovely,Tear Ill,whitemage,12026.489858179,28,7.1
Honey B. Lovely,James Abramolo,sage,12140.94182284,32,7.1
Honey B. Lovely,Tear Ill,whitemage,24167.4,45,7.1
Brute Bomber,Spike Doggy,whitemage,12142.873684125,25,7.1
Brute Bomber,Pupuru Puru,sage,11870.031067296,25,7.1
Brute Bomber,Spike Doggy,whitemage,24012.9,38,7.1
Honey B. Lovely,Zeta Shintani,ninja,24029.429945895,39,7.1
Honey B. Lovely,Mila Vimrasi,summoner,20935.297238618,25,7.1
Honey B. Lovely,Jun Lovelock,dancer,19888.450435796,46,7.1
Honey B. Lovely,Auru Owusu,reaper,23611.844516505,26,7.1
Brute Bomber,Faye Melisande,monk,23545.156844998,23,7.1
Brute Bomber,Zeta Shintani,ninja,23454.985037142,26,7.1
Brute Bomber,Jun Lovelock,dancer,20023.156143741,45,7.1
Brute Bomber,Orbis Shidou,pictomancer,25378.069355735,45,7.1
Honey B. Lovely,Pandora Lynx,warrior,17760.425113374,59,7.1
Honey B. Lovely,Seto Alter,gunbreaker,15145.487956873,10,7.1
Honey B. Lovely,Pandora Lynx,warrior,32905.9,41,7.1
Brute Bomber,Pandora Lynx,warrior,18004.438656517,58,7.1
Brute Bomber,Seto Alter,gunbreaker,18238.034368753,62,7.1
Brute Bomber,Pandora Lynx,warrior,36242.5,82,7.1
Wicked Thunder,Pandora Lynx,warrior,18762.078280899,80,7.1
Wicked Thunder,Seto Alter,gunbreaker,18499.287317768,64,7.1
Wicked Thunder,Pandora Lynx,warrior,37261.4,90,7.1
Honey B. Lovely,Kinel Ordo,astrologian,10764.445745863,43,7.1
Honey B. Lovely,Khora Velaceras,sage,14123.117322882,69,7.1
Honey B. Lovely,Kinel Ordo,astrologian,24887.6,73,7.1
Brute Bomber,Kinel Ordo,astrologian,10582.558050131,40,7.1
Brute Bomber,Khora Velaceras,sage,13703.567904557,63,7.1
Brute Bomber,Kinel Ordo,astrologian,24286.1,71,7.1
Wicked Thunder,Kinel Ordo,astrologian,11390.978642948,53,7.1
Wicked Thunder,Khora Velaceras,sage,15527.343875762,93,7.1
Wicked Thunder,Kinel Ordo,astrologian,26918.3,91,7.1
Honey B. Lovely,Mex Id,dragoon,22650.799996997,20,7.1
Honey B. Lovely,Anastasia Lunet,dancer,20297.635672883,54,7.1
Honey B. Lovely,Priscilla Dreamer,viper,26008.204838417,32,7.1
Honey B. Lovely,Sylveret Jandelain,pictomancer,26940.426928189,74,7.1
Brute Bomber,Mex Id,dragoon,25915.614174832,64,7.1
Brute Bomber,Anastasia Lunet,dancer,19653.802411707,37,7.1
Brute Bomber,Priscilla Dreamer,viper,21408.471025178,1,7.1
Brute Bomber,Sylveret Jandelain,pictomancer,23732.167981755,22,7.1
Wicked Thunder,Mex Id,dragoon,26267.99339708,67,7.1
Wicked Thunder,Anastasia Lunet,dancer,21056.424823,71,7.1
Wicked Thunder,Priscilla Dreamer,viper,26561.499372495,20,7.1
Wicked Thunder,Sylveret Jandelain,pictomancer,25175.194860099,34,7.1
Black Cat,Raquel Vaedrin,darkknight,15950.659121523,27,7.1
Black Cat,Pidan Monk,warrior,14866.465947233,17,7.1
Black Cat,Raquel Vaedrin,darkknight,30817.1,30,7.1
Honey B. Lovely,Raquel Vaedrin,darkknight,16549.567645811,28,7.1
Honey B. Lovely,Pidan Monk,warrior,16265.595367976,25,7.1
Honey B. Lovely,Raquel Vaedrin,darkknight,32815.2,39,7.1
Black Cat,Nico Sawayama,scholar,9648.1665335538,24,7.1
Black Cat,Wave Blaze,sage,10544.76593991,17,7.1
Black Cat,Nico Sawayama,scholar,20192.9,18,7.1
Honey B. Lovely,Nico Sawayama,scholar,9783.8229056116,23,7.1
Honey B. Lovely,Wave Blaze,sage,12389.597421225,36,7.1
Honey B. Lovely,Nico Sawayama,scholar,22173.4,24,7.1
Black Cat,Jerold Fisher,monk,18182.014948375,3,7.1
Black Cat,Hollows Yve,dancer,15767.74161687,7,7.1
Black Cat,Nana Ratt,viper,18672.734145844,2,7.1
Black Cat,Sir Leafeon,pictomancer,22464.796047825,28,7.1
Honey B. Lovely,Jerold Fisher,monk,20820.806147864,4,7.1
Honey B. Lovely,Hollows Yve,dancer,18354.27790496,21,7.1
Honey B. Lovely,Nana Ratt,viper,24065.03340061,12,7.1
Honey B. Lovely,Sir Leafeon,pictomancer,21130.551323801,8,7.1
Honey B. Lovely,Pandora Lynx,warrior,17760.425113374,59,7.1
Honey B. Lovely,Seto Alter,gunbreaker,15145.487956873,10,7.1
Honey B. Lovely,Pandora Lynx,warrior,32905.9,41,7.1
